name,cluster,LevelNum
NO.489,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,-15.0,0.0,0.0,0.0,-15.0,-15.0,0.0,15.0,30.0,43.0,0.0,0.0,28.0,28.0,0.0,0.0,-28.0,-28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,28.0,42.0,14.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0
NO.490,3,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,11.0,32.0,0.0,0.0,-4.0,6.0,0.0,0.0,-3.0,-3.0,-4.0,7.0,14.0,7.0,3.0,13.0,10.0,0.0,4.0,1.0,-3.0,0.0,11.0,-4.0,-4.0,0.0,38.0,38.0,7.0,0.0,24.0,17.0,27.0,10.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,7.0
NO.491,2,-43.0,-15.0,15.0,43.0,-28.0,-43.0,-15.0,15.0,0.0,-14.0,-14.0,0.0,0.0,0.0,-29.0,-44.0,-170.0,-127.0,-42.0,0.0,0.0,-57.0,-57.0,-14.0,0.0,0.0,-42.0,-42.0,56.0,56.0,-1.0,-29.0,14.0,28.0,43.0,15.0,43.0,29.0,15.0,0.0,-43.0,-43.0,-15.0,0.0,-28.0,-42.0,-71.0,-29.0,0.0,43.0,15.0,0.0,14.0,28.0,43.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO.492,3,0.0,9.0,9.0,0.0,0.0,0.0,9.0,18.0,0.0,0.0,10.0,20.0,10.0,0.0,-10.0,-10.0,9.0,19.0,29.0,47.0,0.0,9.0,37.0,28.0,0.0,0.0,-28.0,-47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,29.0,19.0,0.0,0.0,9.0,9.0,9.0,0.0,-1.0,27.0,9.0,10.0,0.0,9.0,18.0,9.0,0.0,0.0,9.0,18.0,0.0,0.0,0.0,9.0
NO.493,2,0.0,0.0,14.0,28.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.0,-28.0,0.0,0.0,14.0,14.0,56.0,42.0,14.0,0.0,0.0,14.0,14.0,0.0,14.0,0.0,14.0,14.0,14.0,42.0,28.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0
NO.494,0,11.0,6.0,0.0,5.0,6.0,6.0,0.0,0.0,5.0,-6.0,-22.0,-16.0,0.0,0.0,0.0,-34.0,-34.0,-11.0,-34.0,-40.0,0.0,5.0,-6.0,12.0,0.0,0.0,28.0,84.0,12.0,12.0,57.0,51.0,0.0,-6.0,-6.0,0.0,-1.0,0.0,6.0,0.0,-11.0,0.0,0.0,0.0,-34.0,-6.0,-12.0,-6.0,56.0,45.0,17.0,0.0,51.0,11.0,39.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO.495,3,14.0,14.0,0.0,0.0,-14.0,14.0,14.0,0.0,-14.0,-14.0,14.0,14.0,0.0,0.0,0.0,14.0,0.0,-14.0,0.0,29.0,0.0,0.0,15.0,15.0,0.0,0.0,-15.0,-1.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,14.0,14.0,0.0,0.0,28.0,28.0,14.0,0.0,14.0,0.0,14.0,14.0,29.0,29.0,0.0,0.0,14.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO.496,3,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,14.0,-28.0,-14.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0,28.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO.497,3,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0
NO.498,3,9.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.0,-9.0,0.0,19.0,0.0,0.0,28.0,28.0,0.0,0.0,-9.0,-9.0,0.0,0.0,-19.0,-19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
NO.499,0,-3.0,-3.0,3.0,3.0,0.0,-3.0,-3.0,3.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-25.0,0.0,0.0,-19.0,-22.0,0.0,0.0,0.0,19.0,0.0,0.0,10.0,38.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-19.0,0.0,0.0,0.0,53.0,34.0,0.0,0.0,28.0,28.0,28.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,6.0
NO.500,3,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,22.0,0.0,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-7.0,0.0,0.0,22.0,21.0,7.0,0.0,14.0,22.0,44.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO.501,0,5.0,10.0,14.0,13.0,0.0,5.0,10.0,10.0,0.0,-5.0,-5.0,5.0,0.0,0.0,0.0,-28.0,-15.0,-15.0,-57.0,-66.0,0.0,-5.0,-19.0,0.0,0.0,0.0,38.0,104.0,30.0,30.0,57.0,42.0,0.0,14.0,28.0,14.0,37.0,37.0,14.0,0.0,0.0,0.0,0.0,0.0,-42.0,-18.0,-9.0,0.0,28.0,32.0,23.0,0.0,61.0,5.0,28.0,23.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,5.0
NO.502,3,4.0,4.0,-8.0,-16.0,4.0,4.0,4.0,-4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,12.0,8.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,8.0,8.0,4.0,4.0,4.0,0.0,0.0,0.0,-4.0,-4.0,0.0,-4.0,-4.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,16.0,20.0,8.0,0.0,8.0,8.0,16.0,8.0,0.0,0.0,8.0,12.0,0.0,0.0,0.0,8.0
NO.503,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,-9.0,0.0,0.0,0.0,-9.0,-9.0,-18.0,-9.0,9.0,9.0,0.0,0.0,0.0,0.0,-20.0,-20.0,-10.0,0.0,-18.0,-18.0,-9.0,0.0,0.0,-28.0,-47.0,-19.0,-75.0,-75.0,-10.0,9.0,-9.0,10.0,10.0,0.0,75.0,74.0,28.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0
NO.504,3,0.0,4.0,4.0,16.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,-16.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,16.0,20.0,-4.0,32.0,24.0,-4.0,-8.0,0.0,0.0,0.0,0.0,-4.0,-4.0,8.0,8.0,0.0,4.0,4.0,-4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
NO.505,3,-29.0,-10.0,0.0,0.0,-9.0,-19.0,-10.0,0.0,-10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,18.0,9.0,0.0,9.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,-10.0,0.0,0.0,9.0,9.0,0.0,0.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,-9.0,0.0
NO.506,3,0.0,7.0,7.0,7.0,0.0,0.0,7.0,7.0,0.0,0.0,7.0,21.0,7.0,0.0,-7.0,-7.0,14.0,21.0,21.0,14.0,0.0,14.0,14.0,7.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,0.0,14.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,35.0,21.0,0.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
NO.507,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,22.0,22.0,1.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,21.0,42.0,21.0,0.0,0.0,7.0,25.0,18.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0
NO.508,3,0.0,9.0,9.0,10.0,-9.0,0.0,9.0,9.0,-9.0,-9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,-9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,19.0,19.0,0.0,28.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,10.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0
NO.509,3,-8.0,5.0,4.0,11.0,-9.0,-6.0,5.0,4.0,-2.0,-5.0,0.0,5.0,2.0,0.0,-3.0,4.0,18.0,12.0,8.0,5.0,0.0,2.0,0.0,0.0,4.0,2.0,4.0,6.0,4.0,4.0,2.0,0.0,5.0,16.0,21.0,2.0,27.0,18.0,-1.0,-3.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,5.0,4.0,11.0,9.0,-2.0,2.0,0.0,9.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
NO.510,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.0,-28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO.511,4,0.0,0.0,-29.0,-43.0,0.0,0.0,0.0,-29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,58.0,29.0,29.0,29.0,0.0,29.0,29.0,14.0,0.0,0.0,0.0,0.0,-30.0,-30.0,-15.0,0.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0
NO.512,0,7.0,3.0,0.0,0.0,2.0,7.0,3.0,0.0,-2.0,17.0,22.0,6.0,-5.0,0.0,19.0,0.0,6.0,-14.0,-60.0,-48.0,0.0,0.0,-14.0,2.0,4.0,2.0,21.0,71.0,10.0,7.0,42.0,40.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,3.0,3.0,0.0,-8.0,17.0,9.0,0.0,28.0,26.0,19.0,2.0,45.0,5.0,24.0,19.0,0.0,0.0,3.0,10.0,0.0,-2.0,-2.0,3.0
NO.513,3,42.0,14.0,0.0,-14.0,28.0,42.0,14.0,0.0,0.0,28.0,42.0,14.0,0.0,0.0,28.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.0,-14.0,-28.0,-28.0,0.0,14.0,-56.0,-42.0,-14.0,0.0,0.0,-14.0,-14.0,0.0,-28.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,14.0,0.0,0.0,14.0,28.0,14.0,0.0,14.0,14.0,42.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
NO.514,0,0.0,9.0,9.0,19.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,-28.0,0.0,0.0,-76.0,0.0,-28.0,-122.0,-113.0,0.0,0.0,-47.0,0.0,0.0,0.0,56.0,141.0,0.0,0.0,57.0,57.0,0.0,19.0,28.0,0.0,38.0,19.0,-9.0,-9.0,0.0,0.0,0.0,0.0,-151.0,-76.0,-10.0,0.0,47.0,19.0,19.0,0.0,85.0,0.0,9.0,9.0,0.0,0.0,19.0,19.0,0.0,9.0,9.0,10.0
NO.515,3,-19.0,10.0,29.0,19.0,0.0,0.0,10.0,29.0,-19.0,-19.0,0.0,0.0,0.0,0.0,0.0,10.0,18.0,9.0,0.0,0.0,0.0,-10.0,-10.0,0.0,20.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,29.0,19.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
NO.516,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.0,-14.0,0.0,0.0,0.0,-14.0,-14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,14.0,14.0,14.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,14.0
NO.517,3,15.0,15.0,-15.0,-15.0,14.0,15.0,15.0,-15.0,14.0,-1.0,-15.0,-14.0,0.0,0.0,0.0,14.0,0.0,15.0,30.0,15.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,-58.0,-29.0,14.0,14.0,0.0,0.0,-15.0,-15.0,-15.0,-15.0,-15.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO.518,0,0.0,-17.0,-17.0,6.0,-22.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.0,-46.0,-29.0,-34.0,-34.0,0.0,0.0,-12.0,11.0,0.0,0.0,12.0,40.0,0.0,0.0,22.0,22.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,-11.0,12.0,0.0,0.0,29.0,22.0,5.0,0.0,39.0,17.0,39.0,22.0,0.0,0.0,12.0,12.0,0.0,6.0,6.0,0.0
NO.519,0,0.0,0.0,0.0,0.0,-28.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71.0,-58.0,-58.0,-157.0,-156.0,0.0,0.0,-42.0,0.0,0.0,0.0,70.0,198.0,30.0,15.0,71.0,71.0,0.0,-29.0,-29.0,0.0,-14.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,-115.0,-15.0,0.0,0.0,99.0,44.0,15.0,0.0,100.0,14.0,43.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO.520,4,0.0,-6.0,-6.0,-23.0,-24.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.0,-11.0,12.0,24.0,0.0,0.0,17.0,17.0,22.0,11.0,-6.0,-6.0,0.0,0.0,-11.0,-11.0,-23.0,-6.0,-12.0,-6.0,-11.0,-16.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,-6.0,0.0,29.0,58.0,29.0,-12.0,0.0,0.0,29.0,29.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
NO.521,3,0.0,0.0,15.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,29.0,0.0,0.0,14.0,0.0,0.0,0.0,-29.0,-14.0,15.0,0.0,14.0,43.0,29.0,0.0,0.0,0.0,29.0,29.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0
NO.522,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.0,-7.0,0.0,4.0,0.0,-7.0,-3.0,0.0,0.0,0.0,-4.0,0.0,-8.0,-8.0,-8.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,-3.0,0.0,0.0,0.0,-7.0,-7.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0
NO.523,5,0.0,0.0,0.0,0.0,28.0,14.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,14.0,28.0,-56.0,-28.0,0.0,-14.0,0.0,0.0,-28.0,0.0,28.0,14.0,28.0,42.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,28.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.0,0.0,0.0,28.0,14.0,14.0,0.0,14.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
NO.524,3,0.0,-14.0,-14.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,28.0,42.0,14.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,29.0,29.0,0.0,0.0,29.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO.525,3,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,8.0,4.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,-8.0,0.0,0.0,12.0,12.0,0.0,0.0,4.0,4.0,8.0,4.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0
NO.526,3,9.0,9.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,-19.0,-19.0,0.0,0.0,0.0,0.0,0.0,-38.0,-10.0,18.0,19.0,0.0,0.0,10.0,19.0,0.0,0.0,9.0,9.0,0.0,0.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,0.0,28.0,29.0,10.0,0.0,0.0,9.0,28.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
NO.527,0,0.0,-6.0,-12.0,-6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,-45.0,-12.0,-6.0,-57.0,-68.0,0.0,0.0,-28.0,-5.0,0.0,0.0,40.0,130.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,-6.0,-6.0,-6.0,-6.0,-6.0,0.0,0.0,0.0,0.0,-39.0,6.0,6.0,6.0,56.0,28.0,0.0,0.0,85.0,28.0,28.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0
NO.528,3,0.0,-9.0,-9.0,-9.0,0.0,-19.0,-19.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,9.0,37.0,-38.0,-19.0,19.0,19.0,0.0,10.0,10.0,0.0,20.0,10.0,0.0,0.0,18.0,18.0,9.0,0.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,0.0,19.0,10.0,10.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO.529,3,0.0,-1.0,-1.0,-2.0,-4.0,-1.0,0.0,-2.0,0.0,2.0,3.0,-1.0,0.0,0.0,2.0,7.0,-10.0,-7.0,-2.0,0.0,0.0,-3.0,-3.0,6.0,0.0,0.0,0.0,2.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,15.0,8.0,3.0,6.0,6.0,12.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0
NO.530,5,0.0,-19.0,-19.0,0.0,18.0,9.0,0.0,0.0,0.0,28.0,28.0,0.0,-19.0,0.0,28.0,56.0,-18.0,-37.0,-28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.0,-28.0,19.0,28.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,-9.0,-9.0,0.0,9.0,37.0,28.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO.531,3,0.0,-5.0,-5.0,0.0,-5.0,0.0,5.0,5.0,-5.0,0.0,9.0,4.0,-4.0,0.0,5.0,19.0,0.0,-10.0,-5.0,-5.0,0.0,-9.0,-14.0,-5.0,-10.0,-10.0,-5.0,0.0,-10.0,-5.0,-9.0,-9.0,0.0,0.0,9.0,5.0,28.0,28.0,10.0,-4.0,0.0,0.0,0.0,0.0,-14.0,-14.0,4.0,4.0,4.0,13.0,9.0,0.0,0.0,-5.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0
NO.532,3,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,-5.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,-10.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
NO.533,4,-28.0,-20.0,-8.0,-20.0,-4.0,-4.0,-4.0,0.0,8.0,0.0,0.0,-4.0,4.0,4.0,4.0,12.0,-16.0,-4.0,20.0,20.0,0.0,4.0,8.0,4.0,48.0,36.0,12.0,-4.0,0.0,0.0,0.0,0.0,-12.0,0.0,-8.0,-8.0,-16.0,-20.0,-8.0,0.0,0.0,-4.0,-4.0,0.0,16.0,0.0,-4.0,-4.0,4.0,32.0,24.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,-8.0,4.0,0.0,-4.0,-4.0,4.0
NO.534,3,2.0,4.0,1.0,-3.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,3.0,-1.0,-1.0,0.0,-2.0,-19.0,-8.0,-4.0,-9.0,0.0,-8.0,-13.0,-3.0,12.0,8.0,6.0,9.0,-4.0,-3.0,6.0,9.0,0.0,2.0,1.0,-1.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,-9.0,-1.0,2.0,1.0,-1.0,-4.0,1.0,0.0,4.0,-2.0,1.0,3.0,0.0,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0
NO.535,3,0.0,0.0,0.0,12.0,-12.0,0.0,0.0,0.0,-17.0,-6.0,0.0,0.0,-6.0,-6.0,5.0,10.0,56.0,23.0,-5.0,0.0,0.0,5.0,0.0,-5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,6.0,12.0,12.0,0.0,18.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0
NO.536,3,14.0,-7.0,-14.0,0.0,14.0,28.0,28.0,7.0,0.0,0.0,21.0,28.0,0.0,0.0,0.0,14.0,0.0,0.0,-14.0,-21.0,0.0,0.0,-28.0,-7.0,0.0,0.0,35.0,56.0,0.0,0.0,7.0,7.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,35.0,28.0,28.0,-7.0,7.0,0.0,28.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0
NO.537,3,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,0.0,-3.0,-3.0,2.0,2.0,12.0,4.0,-9.0,-9.0,0.0,0.0,-2.0,0.0,6.0,3.0,2.0,11.0,8.0,6.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,-2.0,0.0,2.0,7.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,-2.0
NO.538,3,-3.0,-3.0,-8.0,-5.0,-5.0,-4.0,-2.0,-8.0,-1.0,0.0,6.0,6.0,0.0,1.0,1.0,-7.0,2.0,2.0,-18.0,-25.0,0.0,-3.0,-14.0,-1.0,2.0,2.0,16.0,37.0,0.0,0.0,14.0,14.0,1.0,1.0,0.0,-1.0,-7.0,-3.0,-2.0,0.0,-2.0,-3.0,2.0,2.0,-17.0,0.0,-1.0,-1.0,13.0,6.0,5.0,0.0,20.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NO.539,3,2.0,1.0,-6.0,-3.0,-5.0,1.0,8.0,2.0,-1.0,-1.0,3.0,8.0,0.0,0.0,0.0,-13.0,-14.0,-6.0,-21.0,-23.0,0.0,-4.0,-12.0,-2.0,10.0,6.0,13.0,36.0,0.0,0.0,18.0,18.0,1.0,0.0,0.0,-3.0,7.0,5.0,-2.0,0.0,1.0,2.0,4.0,2.0,-15.0,6.0,6.0,2.0,7.0,1.0,2.0,0.0,22.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
